reservoir,n_test,phys_KGE_L1,phys_KGE_L2,phys_KGE_L3,phys_KGE_L4,phys_KGE_L5,phys_KGE_L6,phys_KGE_L7,lgbmphys_KGE_L1,lgbmphys_KGE_L2,lgbmphys_KGE_L3,lgbmphys_KGE_L4,lgbmphys_KGE_L5,lgbmphys_KGE_L6,lgbmphys_KGE_L7,cbphys_KGE_L1,cbphys_KGE_L2,cbphys_KGE_L3,cbphys_KGE_L4,cbphys_KGE_L5,cbphys_KGE_L6,cbphys_KGE_L7,xgb_KGE_L1,xgb_KGE_L2,xgb_KGE_L3,xgb_KGE_L4,xgb_KGE_L5,xgb_KGE_L6,xgb_KGE_L7,lgbm_KGE_L1,lgbm_KGE_L2,lgbm_KGE_L3,lgbm_KGE_L4,lgbm_KGE_L5,lgbm_KGE_L6,lgbm_KGE_L7,cb_KGE_L1,cb_KGE_L2,cb_KGE_L3,cb_KGE_L4,cb_KGE_L5,cb_KGE_L6,cb_KGE_L7,persist_KGE_L1,persist_KGE_L2,persist_KGE_L3,persist_KGE_L4,persist_KGE_L5,persist_KGE_L6,persist_KGE_L7
ResOpsUS_415,1096,0.9853122088675449,0.7528366012966835,0.7989741299161128,0.7686568492621517,0.7416217129179685,0.7294960184987453,0.7152890336001803,0.9965099709941161,0.7088731938752657,0.7456931105277211,0.7062794839530946,0.663320988752662,0.6415268368119331,0.6288143032264912,0.9884058303044376,0.7848995977525064,0.785131628291326,0.7804503503001766,0.7690088804083245,0.7609421326812128,0.7473634913261008,0.9842544499638591,0.8260313475175388,0.958698132511264,0.9258393910236943,0.9231677232309032,0.9078808723239765,0.8991379961064491,0.995878122711095,0.8369360167836097,0.9631933350996497,0.9195836809525177,0.9223682332502684,0.9188433205504923,0.9074620206940717,0.9852045745070537,0.8430479590105875,0.9521395062870934,0.9415909876073183,0.9453124390435735,0.9459875648212548,0.9393174755596378,0.99516125180403,0.9872509609881727,0.9776666308650133,0.9672108540770558,0.9561192057373326,0.944233970700995,0.9315758555554725
ResOpsUS_1017,1463,0.9059733602190604,0.746335631883235,0.47892386134815546,0.29875161214903956,0.17568332875401704,0.07884406434693392,-0.014579582164341298,0.9019248792469416,0.7500590343885979,0.5051893228496172,0.3611909614259571,0.2849962606701725,0.2459080434387143,0.21125420113308835,0.8991913569042355,0.7295400778173744,0.48272797363191,0.36621944202579493,0.29866494639568086,0.24700538406680617,0.20602506726210457,0.7737814787961217,0.804082860752509,0.6337589883783219,0.5729387253993855,0.5771441768751793,0.5559578183844316,0.525141392486922,0.7544689664991531,0.785108890832729,0.6331937252711175,0.5720724395757073,0.5878666443147152,0.5632591201259407,0.5048662496491307,0.7282490806723807,0.8035386382940595,0.6563326021468658,0.5851356346976799,0.590909213014624,0.5606412272150167,0.5149096105032739,0.9521766643102558,0.8772265555111061,0.8135694680153335,0.7625354010880198,0.727920735485656,0.6957158096642211,0.6592903722042236
ResOpsUS_1249,1455,-7.2024062570816305,-81.20335296880423,-96.6831964663224,-103.77134651231613,-117.58612032764563,-122.23046329326829,-129.54313622119224,-9.308909612164067,-73.79013679222079,-120.08223531645054,-126.83802968946073,-123.90730037781728,-129.47832930339493,-146.2418192153362,-7.447002019893487,-27.036184761689565,-80.6898090024105,-130.38828599791353,-144.0850359420527,-139.88878779626188,-146.227236351831,-5.4541058885763345,-53.04754871873955,-81.13778357242145,-93.71863667970496,-101.07786561999157,-108.0665146773572,-114.94116157823507,-10.850640351022344,-64.06274167764948,-108.54583337666585,-114.48983684692683,-115.07880643552211,-119.8919577673535,-130.8018685102578,-5.393673864981256,-29.602348010334193,-71.70315813872669,-90.56808858168559,-92.88598998514532,-95.73886792495513,-101.64029933918495,0.9795924039232909,0.962459391928905,0.9446998464780451,0.9264469608679716,0.9077164969785416,0.8885003581156721,0.8687822771317693
ResOpsUS_293,1096,0.8640877411492234,0.24976782115181384,0.059355911599796585,0.08157333701639735,0.0850640460859059,0.09861486633633432,0.10214568661209289,0.844900007668901,0.16416311627849034,-0.10162122801879048,-0.13175458912852123,-0.1566012075092964,-0.1562932791749876,-0.1632566708170642,0.8782601023673287,0.2348171920967188,0.0544362085020188,0.09137202630212571,0.09918177616430257,0.09468427041167626,0.06664365169824382,0.6630561747369358,0.6998101631032875,0.681743810888275,0.6867540450394414,0.7081526580874665,0.7070051013827288,0.6934503129960312,0.6515931088521216,0.6858044037220725,0.6183554605562765,0.609156205620823,0.6137382698115565,0.6276197162560675,0.6160759881690441,0.6681219955927753,0.7319466587687526,0.6733110731854459,0.6703045925859417,0.684157523466764,0.6899044585685548,0.6886938358401895,0.9865627636236194,0.9539906592000229,0.9116864861758109,0.8662467819156888,0.8227616661272852,0.7824020376003,0.7450132314910896
ResOpsUS_1777,1385,0.8423849287315919,0.5936065967863395,0.5254686141987237,0.4537293426934468,0.43939749184723653,0.42283395843232396,0.4196777972505955,0.84358233412516,0.5679322028689114,0.3883590575007323,0.28724705236532866,0.2599256998836169,0.2347501658783514,0.2500632601626406,0.8409438100754403,0.39094866361605907,0.3606262371147517,0.3030670423599163,0.3255149221732766,0.3626360881763483,0.3932564324051655,0.5870060480608643,0.6919069779004874,0.418415533304904,0.4294291175283288,0.45617791451746026,0.4989091549362562,0.5493668017361674,0.5981144442004732,0.6080599440972312,0.32159837782564693,0.3123558063029436,0.37106005300015354,0.4599612166049375,0.5316659516379789,0.5474782900590431,0.5809579814768713,0.41114774334547466,0.4367984037147592,0.4947907492316651,0.5379006176663232,0.575726878210751,0.9690329852762374,0.9269468716657615,0.8907478978166763,0.8549685649284886,0.8225670427401588,0.8013899034447259,0.7834876145545135
ResOpsUS_1883,1615,0.9297681999864202,0.6809382378756583,0.6878616009113079,0.6946721306413314,0.6942936798665791,0.704588672557094,0.6933855068724403,0.9125259195916204,0.6476806286510635,0.6288324583698148,0.6121746815555544,0.6105245446849807,0.604411770681192,0.5949056107095081,0.9255623091350906,0.6554334555487036,0.5737479166447206,0.6016417058980676,0.5748418902653132,0.5856793719627313,0.5725839968428075,0.9139661675605141,0.7430710245937331,0.6063758596384996,0.6447316834104786,0.6456021331673047,0.6389025360322338,0.6403953618491509,0.9088986860974724,0.7576886316785241,0.5622872288576335,0.586685019597404,0.5944608108556457,0.5739608949799351,0.5669323786296963,0.9184050451641361,0.7044820334757677,0.5171644502281332,0.5549602409346441,0.5504250764541774,0.5464417718816632,0.5375997612923791,0.9532293393361754,0.8675306240722301,0.7933781427660956,0.7483298295294317,0.7176483319227575,0.6907756758659018,0.6646108569028528
ResOpsUS_798,1096,0.9115042039335256,-0.7636206488839754,-1.9761632744988877,-2.5216044971096463,-2.8215423612569297,-3.0110850888387093,-3.2591179334310505,0.9003745350989429,-0.7220109729065975,-2.4029423000634296,-3.2475574582838362,-3.853937149643901,-4.2016632518794905,-4.339842111644958,0.9042446694522458,-0.6624825394494269,-1.598498414893327,-1.8286075485700577,-1.9915532111336955,-2.2202990268322873,-2.6133308899048413,0.7629577876938449,0.2767087439070526,-0.1340175431615025,-0.4195839205155627,-0.7235772300931078,-0.7202257176386779,-0.772856851931603,0.7336357688319413,0.5682099269555932,-0.018126551925066403,-0.2949287643105811,-0.42546829685722165,-0.45625205912161526,-0.34318757053224447,0.6937706440873307,0.5974662539802141,0.007096520584656818,-0.3170947982245984,-0.4885730523617833,-0.39795888926550416,-0.34046795294544574,0.969172705262289,0.9043328301038267,0.829622883538161,0.7626568129699307,0.7085176230820498,0.662839920201018,0.6195403951117874
ResOpsUS_1756,1385,0.820788797892852,0.21692650174730221,0.06101161069658634,0.04952077735603755,0.06321960362712031,0.06758256563932918,0.04436258157161321,0.8356970011762419,-0.0355094703047385,-0.20687348222549629,-0.2045230296541638,-0.18021318056849212,-0.1822227989560683,-0.20824692035946413,0.8498184241600422,0.060334192226661476,-0.0984048686125929,-0.04884762591216307,0.05621977622964436,0.11488091856651883,0.10571281343858852,0.6859648298456975,0.5371777747207801,0.3223883071061098,0.27591009387751264,0.2881311069982945,0.2788962050181769,0.3235212167067312,0.698211063233209,0.665972806433123,0.6448436131896675,0.5997861224237511,0.5575728879486935,0.5369209175373468,0.5363726709238976,0.68997224903034,0.6990834817144951,0.6529910387954668,0.6133267434227441,0.5937541610733191,0.5619366665551224,0.5516312495012713,0.9679257410714576,0.9276328979776408,0.9005168432225252,0.876126234042608,0.854439556965193,0.8461232645726615,0.8359843056108859
ResOpsUS_1036,1463,0.9164356277966756,0.08150766159349554,0.02829390833194656,0.05934820445084532,0.024328121314311724,-0.014176009687153934,-0.03431227674055459,0.9283969393225457,-0.04690941068231402,-0.16949711208542584,-0.09019693387150007,-0.08363924251047128,-0.09750973933073204,-0.10278735732284305,0.9216780092531586,-0.019507579905210015,-0.06174860350399358,-0.02605470832138268,-0.050412817138060007,-0.06951257889062035,-0.09969479969069317,0.6653394299576179,0.1872309246157413,-0.24157758055697065,0.2976687256771131,0.3770343868195919,0.33956448848320886,0.3527981014328585,0.6711118855873361,0.25068839824911104,-0.0466924065965717,0.41844299242781735,0.4253899561852751,0.3874764561773686,0.36378872166272225,0.5988582849974908,0.270002650665811,0.15309326630811315,0.4598116275527687,0.4302151456613902,0.3943962978874085,0.3804416974734717,0.9748584275750407,0.9441569782422904,0.9145480562113196,0.8851018971537831,0.8562849129290753,0.8279585150466697,0.8012398436171033
ResOpsUS_938,1096,0.9312312381533621,-0.8505809257463668,-1.1121407208543101,-1.0496332685341958,-1.1185438621685928,-1.3303199240299293,-1.7234983932078083,0.931820956609423,-1.130115904592607,-1.5880691076914748,-1.6360789046941595,-1.747778323304165,-1.972552842841821,-2.404248015631214,0.9351845619019843,-0.9569669401524123,-1.3216580612786126,-1.379611836867991,-1.46395606530919,-1.5875498094046416,-1.809783995435493,0.5986279079978043,0.30362033892303775,0.3342656257532034,0.35072804357722664,0.23082159727455243,0.22896427425419374,0.21067294520483204,0.6037369301420454,0.40686089578999607,0.454601361711063,0.4066107568668934,0.24985905466721525,0.25108137644798756,0.23445093251370996,0.5990680266170423,0.3925509328911767,0.4695028323095992,0.43853855578348666,0.30171290400242057,0.2838389673694217,0.26201508905388826,0.9748742912578093,0.929763438674468,0.8806526017687751,0.8363905881626287,0.7989284613368997,0.7662694543946902,0.7344117893416338
