reservoir,max_depth,n_estimators,KGE
ResOpsUS_7313,8,400,0.9463935054262104
ResOpsUS_7313,8,800,0.9472828087682664
ResOpsUS_898,4,200,0.9820656376914664
ResOpsUS_898,4,400,0.9838113763902508
ResOpsUS_898,4,800,0.9852598564414264
ResOpsUS_898,6,200,0.9845380500823568
ResOpsUS_898,6,400,0.9847136565001068
ResOpsUS_898,6,800,0.9850068443206396
ResOpsUS_898,8,200,0.982301811039552
ResOpsUS_898,8,400,0.9822780660754236
ResOpsUS_898,8,800,0.9821961014494914
ResOpsUS_536,4,200,0.9672627504673896
ResOpsUS_536,4,400,0.9812641735265356
ResOpsUS_536,4,800,0.9860876554705064
ResOpsUS_536,6,200,0.9740130631891128
ResOpsUS_536,6,400,0.9789394741201668
ResOpsUS_536,6,800,0.9804138339894418
ResOpsUS_536,8,200,0.980737070775284
ResOpsUS_536,8,400,0.981697690170368
ResOpsUS_536,8,800,0.981942843726142
ResOpsUS_574,4,200,0.9341823821542502
ResOpsUS_574,4,400,0.9387141120144432
ResOpsUS_574,4,800,0.940937037322863
ResOpsUS_574,6,200,0.9413014687832124
ResOpsUS_574,6,400,0.943101736055
ResOpsUS_574,6,800,0.9447035523677054
ResOpsUS_574,8,200,0.9438655793942764
ResOpsUS_574,8,400,0.9446880696427424
ResOpsUS_574,8,800,0.9455127245940588
ResOpsUS_386,4,200,0.888080726537046
ResOpsUS_386,4,400,0.8846274905160397
ResOpsUS_386,4,800,0.8832901612108587
ResOpsUS_386,6,200,0.8919853984399845
ResOpsUS_386,6,400,0.8964658064929549
ResOpsUS_386,6,800,0.8998672346179291
ResOpsUS_386,8,200,0.883859796133847
ResOpsUS_386,8,400,0.8859911662397171
ResOpsUS_386,8,800,0.8865633710461651
ResOpsUS_939,4,200,0.1711754197782391
ResOpsUS_939,4,400,0.2752238270515873
ResOpsUS_939,4,800,0.3176645090335797
ResOpsUS_939,6,200,-0.2588222224554792
ResOpsUS_939,6,400,-0.245719855624021
ResOpsUS_939,6,800,-0.2615038905533395
ResOpsUS_939,8,200,-0.2781340818086337
ResOpsUS_939,8,400,-0.2740890781351683
ResOpsUS_939,8,800,-0.2437348644300498
ResOpsUS_367,4,200,0.9456371813871356
ResOpsUS_367,4,400,0.9575134764938787
ResOpsUS_367,4,800,0.9693952559740544
ResOpsUS_367,6,200,0.963274392361974
ResOpsUS_367,6,400,0.9709798019138872
ResOpsUS_367,6,800,0.975538255824032
ResOpsUS_367,8,200,0.9666848771080108
