feature,mean_abs_shap,reservoir
doy_cos,0.091645814,ResOpsUS_798
storage_trend,0.93911207,ResOpsUS_798
throughput_ratio,0.044951376,ResOpsUS_798
storage_norm,0.36982706,ResOpsUS_798
storage_deficit,0.060154993,ResOpsUS_798
inflow_norm,0.028576024,ResOpsUS_798
inflow_ma7,0.54552084,ResOpsUS_798
inflow_ma30,0.20993926,ResOpsUS_798
inflow_anom7,0.022827512,ResOpsUS_798
inflow,3.5163033,ResOpsUS_1756
inflow_lag1,65.36791,ResOpsUS_1756
inflow_lag2,4.4931965,ResOpsUS_1756
inflow_lag3,2.3825836,ResOpsUS_1756
storage_lag1,6.0045114,ResOpsUS_1756
storage_lag2,7.340599,ResOpsUS_1756
doy_sin,4.421247,ResOpsUS_1756
doy_cos,3.5699532,ResOpsUS_1756
storage_trend,82.94179,ResOpsUS_1756
throughput_ratio,2.0436773,ResOpsUS_1756
storage_norm,3.2508771,ResOpsUS_1756
storage_deficit,8.250794,ResOpsUS_1756
inflow_norm,1.1935544,ResOpsUS_1756
inflow_ma7,15.167707,ResOpsUS_1756
inflow_ma30,55.883884,ResOpsUS_1756
inflow_anom7,2.7429342,ResOpsUS_1756
inflow,19.626707,ResOpsUS_1036
inflow_lag1,37.924862,ResOpsUS_1036
inflow_lag2,3.721325,ResOpsUS_1036
inflow_lag3,2.3908846,ResOpsUS_1036
storage_lag1,5.0592995,ResOpsUS_1036
storage_lag2,11.53697,ResOpsUS_1036
doy_sin,4.127342,ResOpsUS_1036
doy_cos,4.022765,ResOpsUS_1036
storage_trend,93.241554,ResOpsUS_1036
throughput_ratio,1.9645171,ResOpsUS_1036
storage_norm,2.8735104,ResOpsUS_1036
storage_deficit,6.912841,ResOpsUS_1036
inflow_norm,5.956096,ResOpsUS_1036
inflow_ma7,5.603542,ResOpsUS_1036
inflow_ma30,17.036747,ResOpsUS_1036
inflow_anom7,2.6976957,ResOpsUS_1036
inflow,0.018816799,ResOpsUS_938
inflow_lag1,0.4325749,ResOpsUS_938
inflow_lag2,0.014144565,ResOpsUS_938
inflow_lag3,0.009342773,ResOpsUS_938
storage_lag1,0.027337257,ResOpsUS_938
storage_lag2,0.08905797,ResOpsUS_938
doy_sin,0.048055436,ResOpsUS_938
doy_cos,0.16515335,ResOpsUS_938
storage_trend,1.1795279,ResOpsUS_938
throughput_ratio,0.014643312,ResOpsUS_938
storage_norm,0.014549583,ResOpsUS_938
storage_deficit,0.024302969,ResOpsUS_938
inflow_norm,0.0048776097,ResOpsUS_938
inflow_ma7,0.046920665,ResOpsUS_938
inflow_ma30,0.03242553,ResOpsUS_938
inflow_anom7,0.009091649,ResOpsUS_938
inflow,1.352589,ResOpsUS_373
inflow_lag1,10.876785,ResOpsUS_373
inflow_lag2,0.7936106,ResOpsUS_373
inflow_lag3,0.57254386,ResOpsUS_373
storage_lag1,0.32637906,ResOpsUS_373
storage_lag2,0.7454753,ResOpsUS_373
doy_sin,0.5313892,ResOpsUS_373
doy_cos,7.651322,ResOpsUS_373
storage_trend,11.916686,ResOpsUS_373
throughput_ratio,0.49734494,ResOpsUS_373
storage_norm,0.18700509,ResOpsUS_373
storage_deficit,0.21396466,ResOpsUS_373
inflow_norm,0.1311279,ResOpsUS_373
inflow_ma7,4.1785755,ResOpsUS_373
inflow_ma30,5.952351,ResOpsUS_373
inflow_anom7,0.23296744,ResOpsUS_373
inflow,0.86405164,ResOpsUS_393
inflow_lag1,9.826599,ResOpsUS_393
inflow_lag2,0.684514,ResOpsUS_393
inflow_lag3,0.62585086,ResOpsUS_393
storage_lag1,0.37211055,ResOpsUS_393
storage_lag2,0.58739215,ResOpsUS_393
doy_sin,0.37824523,ResOpsUS_393
doy_cos,0.58207047,ResOpsUS_393
storage_trend,11.132092,ResOpsUS_393
throughput_ratio,0.38008973,ResOpsUS_393
storage_norm,0.14610097,ResOpsUS_393
storage_deficit,0.3610118,ResOpsUS_393
inflow_norm,0.15306887,ResOpsUS_393
inflow_ma7,3.3825648,ResOpsUS_393
inflow_ma30,7.4422584,ResOpsUS_393
inflow_anom7,0.27662653,ResOpsUS_393
inflow,4.3584313,ResOpsUS_1761
inflow_lag1,25.502337,ResOpsUS_1761
inflow_lag2,4.4786406,ResOpsUS_1761
inflow_lag3,3.070775,ResOpsUS_1761
storage_lag1,7.913523,ResOpsUS_1761
storage_lag2,21.622705,ResOpsUS_1761
doy_sin,4.5583816,ResOpsUS_1761
doy_cos,5.7535605,ResOpsUS_1761
storage_trend,48.183075,ResOpsUS_1761
throughput_ratio,2.944726,ResOpsUS_1761
storage_norm,3.5797389,ResOpsUS_1761
storage_deficit,13.292691,ResOpsUS_1761
inflow_norm,1.227939,ResOpsUS_1761
inflow_ma7,14.732936,ResOpsUS_1761
inflow_ma30,69.45706,ResOpsUS_1761
inflow_anom7,4.242457,ResOpsUS_1761
inflow,0.016231203,ResOpsUS_958
inflow_lag1,0.1562485,ResOpsUS_958
inflow_lag2,0.0025429593,ResOpsUS_958
inflow_lag3,0.007545976,ResOpsUS_958
storage_lag1,0.027365955,ResOpsUS_958
storage_lag2,0.07054968,ResOpsUS_958
doy_sin,0.009548778,ResOpsUS_958
doy_cos,0.013762981,ResOpsUS_958
storage_trend,0.15223789,ResOpsUS_958
throughput_ratio,0.14253373,ResOpsUS_958
storage_norm,0.013215072,ResOpsUS_958
storage_deficit,0.022189949,ResOpsUS_958
inflow_norm,0.0013109827,ResOpsUS_958
inflow_ma7,0.0055904468,ResOpsUS_958
inflow_ma30,0.023812985,ResOpsUS_958
inflow_anom7,0.0036525996,ResOpsUS_958
inflow,0.015082179,ResOpsUS_872
inflow_lag1,0.5440127,ResOpsUS_872
inflow_lag2,0.0152906645,ResOpsUS_872
inflow_lag3,0.011375426,ResOpsUS_872
storage_lag1,0.012633298,ResOpsUS_872
storage_lag2,0.017440075,ResOpsUS_872
doy_sin,0.026866287,ResOpsUS_872
doy_cos,0.06550001,ResOpsUS_872
storage_trend,0.79549676,ResOpsUS_872
throughput_ratio,0.02066837,ResOpsUS_872
storage_norm,0.0036765959,ResOpsUS_872
storage_deficit,0.03756829,ResOpsUS_872
inflow_norm,0.0032697655,ResOpsUS_872
inflow_ma7,0.018159311,ResOpsUS_872
inflow_ma30,0.029585738,ResOpsUS_872
inflow_anom7,0.010387351,ResOpsUS_872
inflow,0.2837268,ResOpsUS_784
inflow_lag1,0.33102807,ResOpsUS_784
inflow_lag2,0.011623125,ResOpsUS_784
inflow_lag3,0.010825656,ResOpsUS_784
storage_lag1,0.013191225,ResOpsUS_784
storage_lag2,0.081825204,ResOpsUS_784
doy_sin,0.009482785,ResOpsUS_784
doy_cos,0.015965903,ResOpsUS_784
storage_trend,0.1406176,ResOpsUS_784
throughput_ratio,0.044526674,ResOpsUS_784
storage_norm,0.013397207,ResOpsUS_784
storage_deficit,0.006223772,ResOpsUS_784
inflow_norm,0.06402737,ResOpsUS_784
inflow_ma7,0.07399001,ResOpsUS_784
inflow_ma30,0.058089435,ResOpsUS_784
inflow_anom7,0.019375496,ResOpsUS_784
inflow,0.06736675,ResOpsUS_837
inflow_lag1,0.7128845,ResOpsUS_837
inflow_lag2,0.022701036,ResOpsUS_837
inflow_lag3,0.012052227,ResOpsUS_837
storage_lag1,0.25463912,ResOpsUS_837
storage_lag2,0.12422645,ResOpsUS_837
doy_sin,0.029492596,ResOpsUS_837
doy_cos,0.024953585,ResOpsUS_837
storage_trend,0.68763244,ResOpsUS_837
throughput_ratio,0.017768286,ResOpsUS_837
storage_norm,0.14664692,ResOpsUS_837
storage_deficit,0.17554891,ResOpsUS_837
inflow_norm,0.011740491,ResOpsUS_837
inflow_ma7,0.18359219,ResOpsUS_837
inflow_ma30,0.3602392,ResOpsUS_837
inflow_anom7,0.0082296925,ResOpsUS_837
inflow,5.052796,ResOpsUS_7313
inflow_lag1,32.648243,ResOpsUS_7313
inflow_lag2,2.856224,ResOpsUS_7313
inflow_lag3,1.2853506,ResOpsUS_7313
storage_lag1,1.1932825,ResOpsUS_7313
storage_lag2,1.1370783,ResOpsUS_7313
doy_sin,0.6208869,ResOpsUS_7313
doy_cos,1.4447037,ResOpsUS_7313
storage_trend,22.330536,ResOpsUS_7313
throughput_ratio,0.685601,ResOpsUS_7313
storage_norm,0.25452042,ResOpsUS_7313
storage_deficit,1.3756133,ResOpsUS_7313
inflow_norm,0.79232174,ResOpsUS_7313
inflow_ma7,10.871487,ResOpsUS_7313
inflow_ma30,2.9084575,ResOpsUS_7313
inflow_anom7,0.38026628,ResOpsUS_7313
inflow,0.004390066,ResOpsUS_885
inflow_lag1,0.07762305,ResOpsUS_885
inflow_lag2,0.0013344499,ResOpsUS_885
inflow_lag3,0.0010399047,ResOpsUS_885
storage_lag1,0.0014526412,ResOpsUS_885
storage_lag2,0.0037732339,ResOpsUS_885
doy_sin,0.0021426058,ResOpsUS_885
doy_cos,0.007254286,ResOpsUS_885
storage_trend,0.076152585,ResOpsUS_885
throughput_ratio,0.0062973215,ResOpsUS_885
storage_norm,0.00079146266,ResOpsUS_885
storage_deficit,0.0039365017,ResOpsUS_885
inflow_norm,0.0006809561,ResOpsUS_885
inflow_ma7,0.017719802,ResOpsUS_885
inflow_ma30,0.0294498,ResOpsUS_885
inflow_anom7,0.0010152641,ResOpsUS_885
inflow,0.014129097,ResOpsUS_780
inflow_lag1,0.6448979,ResOpsUS_780
inflow_lag2,0.013909797,ResOpsUS_780
inflow_lag3,0.01202115,ResOpsUS_780
storage_lag1,0.081041284,ResOpsUS_780
storage_lag2,0.6955848,ResOpsUS_780
doy_sin,0.07412974,ResOpsUS_780
doy_cos,0.027432974,ResOpsUS_780
storage_trend,0.8908029,ResOpsUS_780
throughput_ratio,0.017787514,ResOpsUS_780
storage_norm,0.050492816,ResOpsUS_780
storage_deficit,0.33345437,ResOpsUS_780
inflow_norm,0.004204798,ResOpsUS_780
inflow_ma7,0.11007183,ResOpsUS_780
inflow_ma30,0.31040612,ResOpsUS_780
inflow_anom7,0.010575006,ResOpsUS_780
inflow,0.35395747,ResOpsUS_300
inflow_lag1,6.5328364,ResOpsUS_300
inflow_lag2,0.2997096,ResOpsUS_300
inflow_lag3,0.3331517,ResOpsUS_300
storage_lag1,0.20067702,ResOpsUS_300
storage_lag2,0.3126135,ResOpsUS_300
doy_sin,0.34772718,ResOpsUS_300
doy_cos,0.159625,ResOpsUS_300
storage_trend,7.667123,ResOpsUS_300
throughput_ratio,0.38198513,ResOpsUS_300
storage_norm,0.069375165,ResOpsUS_300
storage_deficit,0.69735014,ResOpsUS_300
inflow_norm,0.12770197,ResOpsUS_300
inflow_ma7,1.2141451,ResOpsUS_300
inflow_ma30,2.7639463,ResOpsUS_300
inflow_anom7,0.092680566,ResOpsUS_300
inflow,0.41871196,ResOpsUS_522
inflow_lag1,1.2188993,ResOpsUS_522
inflow_lag2,0.18384802,ResOpsUS_522
inflow_lag3,0.060866747,ResOpsUS_522
storage_lag1,0.11932372,ResOpsUS_522
storage_lag2,0.0876768,ResOpsUS_522
doy_sin,0.060619246,ResOpsUS_522
doy_cos,0.09265394,ResOpsUS_522
storage_trend,1.544211,ResOpsUS_522
throughput_ratio,0.11022736,ResOpsUS_522
storage_norm,0.027086576,ResOpsUS_522
storage_deficit,0.052112117,ResOpsUS_522
inflow_norm,0.07202705,ResOpsUS_522
inflow_ma7,0.09316279,ResOpsUS_522
inflow_ma30,0.28227782,ResOpsUS_522
inflow_anom7,0.033589814,ResOpsUS_522
inflow,10.0925255,ResOpsUS_1026
inflow_lag1,22.200018,ResOpsUS_1026
inflow_lag2,4.5818005,ResOpsUS_1026
inflow_lag3,2.271686,ResOpsUS_1026
storage_lag1,3.917756,ResOpsUS_1026
storage_lag2,3.7122045,ResOpsUS_1026
doy_sin,2.609901,ResOpsUS_1026
doy_cos,2.3791506,ResOpsUS_1026
storage_trend,29.079214,ResOpsUS_1026
throughput_ratio,4.760121,ResOpsUS_1026
storage_norm,3.3782659,ResOpsUS_1026
storage_deficit,3.120457,ResOpsUS_1026
inflow_norm,2.2759008,ResOpsUS_1026
inflow_ma7,15.222459,ResOpsUS_1026
inflow_ma30,35.77149,ResOpsUS_1026
inflow_anom7,1.7113996,ResOpsUS_1026
inflow,0.028388096,ResOpsUS_882
inflow_lag1,0.24658565,ResOpsUS_882
inflow_lag2,0.041275375,ResOpsUS_882
inflow_lag3,0.027531378,ResOpsUS_882
storage_lag1,0.0069033136,ResOpsUS_882
storage_lag2,0.026701963,ResOpsUS_882
doy_sin,0.00721054,ResOpsUS_882
doy_cos,0.03246709,ResOpsUS_882
storage_trend,0.3298045,ResOpsUS_882
throughput_ratio,0.009409572,ResOpsUS_882
storage_norm,0.003870598,ResOpsUS_882
storage_deficit,0.033626344,ResOpsUS_882
inflow_norm,0.0062310486,ResOpsUS_882
inflow_ma7,0.16181318,ResOpsUS_882
inflow_ma30,0.10050236,ResOpsUS_882
inflow_anom7,0.0065724445,ResOpsUS_882
inflow,2.8077295,ResOpsUS_898
inflow_lag1,15.80146,ResOpsUS_898
inflow_lag2,1.6405306,ResOpsUS_898
inflow_lag3,0.33050087,ResOpsUS_898
storage_lag1,0.33833835,ResOpsUS_898
storage_lag2,0.430621,ResOpsUS_898
doy_sin,1.9072199,ResOpsUS_898
doy_cos,5.7704077,ResOpsUS_898
storage_trend,31.18437,ResOpsUS_898
throughput_ratio,0.32896718,ResOpsUS_898
storage_norm,0.18256153,ResOpsUS_898
storage_deficit,0.29150614,ResOpsUS_898
inflow_norm,0.20797627,ResOpsUS_898
inflow_ma7,1.9758292,ResOpsUS_898
inflow_ma30,1.1886692,ResOpsUS_898
inflow_anom7,0.26322508,ResOpsUS_898
inflow,0.22138765,ResOpsUS_497
inflow_lag1,1.1694461,ResOpsUS_497
inflow_lag2,0.1090406,ResOpsUS_497
inflow_lag3,0.025688037,ResOpsUS_497
storage_lag1,0.05604652,ResOpsUS_497
storage_lag2,0.11628083,ResOpsUS_497
doy_sin,0.039159343,ResOpsUS_497
doy_cos,0.029249685,ResOpsUS_497
storage_trend,1.060856,ResOpsUS_497
throughput_ratio,0.035275184,ResOpsUS_497
storage_norm,0.038778998,ResOpsUS_497
storage_deficit,0.07730621,ResOpsUS_497
inflow_norm,0.034021903,ResOpsUS_497
inflow_ma7,0.16224697,ResOpsUS_497
inflow_ma30,0.23768875,ResOpsUS_497
inflow_anom7,0.028258204,ResOpsUS_497
