full,raw_only,no_mass_balance,no_storage_state,no_flow_anomaly,reservoir
0.8184109765466154,0.49281886944314823,0.568541975064124,0.8337119395568253,0.8450305297676187,ResOpsUS_393
0.700058306411927,0.5852463790915758,0.6251016136223837,0.7000421582257813,0.6726779354874524,ResOpsUS_1761
0.7847017118270915,0.7974644610729656,0.9117380922601845,0.7927382767981265,0.7415788072347356,ResOpsUS_958
0.8987624092279486,0.5016242025765378,0.3838898905461645,0.8991350866687646,0.8044456289467689,ResOpsUS_872
0.8174263425819269,0.45837850007951453,0.6496476037634116,0.8070608774933097,0.7584303913764827,ResOpsUS_784
0.2961426847596903,0.48695313557680375,0.5735063091331177,0.39054155179440253,-0.10893364343418255,ResOpsUS_837
0.9544953078546937,0.8534801804367109,0.8889796479155748,0.9523414385048485,0.9538319673338477,ResOpsUS_7313
0.9492613933306084,0.658819580217388,0.6060486188574578,0.9452572309962946,0.9498128571574151,ResOpsUS_885
0.8891497148627575,0.588170635775584,0.5852372111843577,0.9068192529438766,0.91410479299393,ResOpsUS_780
0.9691647737832891,0.35230972175875075,0.4818701403800011,0.9731294848100048,0.9539576973469485,ResOpsUS_300
0.9623215362893078,0.8564992329375374,0.848725511336704,0.9702683525682003,0.9655670713939581,ResOpsUS_522
0.9567185416305949,0.8796802952059365,0.9074568770173579,0.946494374617768,0.9428605996141737,ResOpsUS_1026
0.9444272561842587,0.8913155475002993,0.8791270354091207,0.9657128384811549,0.9585086442032474,ResOpsUS_882
0.9837328572858904,0.932577299930412,0.9167893544985035,0.9857165701051329,0.9776828476951543,ResOpsUS_898
0.9384655027003626,0.7862149327189656,0.7722274107755109,0.9457327179783418,0.9675806528237827,ResOpsUS_497
0.9226576620104107,0.6219424445950257,0.6521408309707044,0.9274540458667406,0.9230660136614188,ResOpsUS_529
0.4650477857287595,-0.18585362269185457,-0.7003215836175369,0.4639308436237196,0.2498177165299732,ResOpsUS_936
0.8579457368627774,0.4559882024950055,0.5048613095899372,0.8629307059927169,0.8576521464664981,ResOpsUS_1848
0.8803929055344192,0.5047850630458042,0.584247797731114,0.8855225798989811,0.8842817064974493,ResOpsUS_1869
0.8640638983158211,0.6920616143030409,0.7292158007849805,0.8638363223850424,0.8521064029858907,ResOpsUS_1112
0.877842143822009,0.42179143269981023,0.35237812567055904,0.8840523385556844,0.8836776180590328,ResOpsUS_601
0.8856098405981909,0.27963634117327174,0.3580803597967488,0.895933925107004,0.8916283643590268,ResOpsUS_451
0.4896366623088986,0.37924329803354584,0.4524638263649424,0.4849692976378064,0.45839857562968456,ResOpsUS_1851
0.8718812610844698,0.7300482189662341,0.709063445843306,0.8754547099788355,0.8777304547942123,ResOpsUS_1067
0.8782919419028405,0.5684283481236359,0.6000439590656494,0.874206575071329,0.8833368395858199,ResOpsUS_1864
0.8804858374535306,0.877812422216134,0.8555325547622198,0.886523444584069,0.8916417551733875,ResOpsUS_1776
0.7544839608558672,0.34523380538412407,0.3504644868184347,0.7704432223650051,0.7649313432901811,ResOpsUS_597
0.9432861883416561,0.8319388184583757,0.8320523464769006,0.9439341194215755,0.9350728972469795,ResOpsUS_574
0.859618448522975,0.7994284725248619,0.7725229441206362,0.8583486625215941,0.8850269267052913,ResOpsUS_1237
0.8308525015503911,0.8063489454445598,0.7803189378112255,0.8704983257321568,0.837463882603641,ResOpsUS_1033
0.910583562879692,0.7400673661260302,0.7676352238364698,0.9127728582998891,0.9040913641445423,ResOpsUS_385
0.9784154825828911,0.8804010262339561,0.8804202446175247,0.9839421670559974,0.9835316556343784,ResOpsUS_362
0.940050000769993,0.9196133309051383,0.9317767353309543,0.9366964078731084,0.9379554006357105,ResOpsUS_372
0.966445118302206,0.8060005842841533,0.8006909611659905,0.9695413591785014,0.9756936049505658,ResOpsUS_384
0.8821409787851655,0.8584606355962473,0.8532853810833249,0.9014191153051154,0.8753191250374841,ResOpsUS_386
0.9836623152173934,0.8967399160370543,0.9082625848380703,0.9825371767368887,0.983708675651854,ResOpsUS_55
0.9811642993980614,0.8814219325727485,0.8498378184775917,0.9826704368303691,0.986317477232942,ResOpsUS_57
0.954695596134435,0.8342705586115253,0.8607257223629109,0.9569208165814524,0.9604462399874797,ResOpsUS_60
-80.10213135207294,-38.349810657173414,-328.9063526740853,-36.74159919045863,-8.893811448828929,ResOpsUS_572
0.8131158220127293,0.5180320853409077,0.5410498224555562,0.814866573387659,0.8272563691199085,ResOpsUS_1101
-0.08997795062113423,-5.849422051973929,-7.333639520075048,-0.11999603335493503,0.2728421718416201,ResOpsUS_939
0.946910904058358,0.9254876857702726,0.9265753110787557,0.9480475314017225,0.9516478641831232,ResOpsUS_1752
0.9701620657526273,0.839529694124758,0.9549242171583553,0.9697205968591036,0.9894548989560245,ResOpsUS_423
0.9232358783692692,0.6675997427618823,0.7478356339159137,0.9387577356441734,0.90010430192571,ResOpsUS_355
